Culture,Age,DIV,Genotype,mean_FR,median_FR,Total_FR,N_active_Es,meanSTTC,skewSTTC,netw_density,meanDegree,skewDegree,netw_size,CC1,PL1,GE1,SW1,RC1,BC1,CC2,PL2,GE2,SW2,RC2,BC2,mean_ISI_withinNbursts_ms,mean_ISI_outsideNbursts_ms,CVIofNBI,NBurstRate,frac_in_Nburst,num_RC_nodes_mean,GEraw
MPT200209_1A,DIV28,28,HE,0.47,0.288,9.87,21,0.178,,,,1.140867125,9.368421053,1.001146148,1.009156439,0.997908043,0.99206239,1,1.105441638,1.086531005,1.015686275,0.996444444,1.069750603,1.111111111,1.330502713,2.9755,101.131,0.913,0.833,0.059,15,0.88968254
MPT200209_1A,DIV35,35,HE,0.456,0.272,10.488,23,0.184,,,,1.118651272,10.47368421,1.007923354,1,1,1.007923354,1,0.988106906,1.213835604,1,1,1.213835604,1.111111111,1.12073394,2.9005,95.327,0.648,1.5,0.109,17,0.867965368
MPT200209_1B,DIV14,14,HE,0.214,0.101,3.852,18,0.082,,,,1.655530808,3.894736842,1.007868066,1,1,1.007868066,1,0.939458931,1.245852669,1.005128205,0.998737374,1.239496277,1.111111111,1.053994197,,,,,,13,0.861655773
MPT200209_1B,DIV21,21,HE,0.76,0.503,18.24,24,0.275,,,,0.167446114,12.73684211,0.996002461,0.999848508,1.000033468,0.99615337,1,0.951848045,1.128818153,1,1,1.128818153,1.111111111,1.025027019,2.236644068,54.923,0.702,4.917,0.23,20,0.902173913
MPT200209_1B,DIV28,28,HE,0.428,0.246,10.272,24,0.302,,,,0.416999181,13,1.001801907,1,1,1.001801907,1,0.99921394,1.062309761,1,1,1.062309761,1.111111111,1.272546208,1.835947368,97.521,0.818,3.167,0.284,18,0.929347826
MPT200209_1B,DIV35,35,HE,16.651,18.59,949.107,57,0.731,,,,-0.941437272,51.63157895,0.999974429,1.000498256,0.999885701,0.999476434,1,1.002724796,1.199945835,1.002997003,0.999314599,1.196360339,1.25,1.13402825,2.604717241,1.825,1.412,12.083,0.986,35,0.88902439
MPT200209_1C,DIV14,14,HE,0.506,0.068,2.53,5,0.064,,,,1.830514016,0.736842105,1,1,1,1,1,1,1.102362205,1,1,1.102362205,1.324503311,1,,,,,,5,0.85
MPT200209_1C,DIV21,21,HE,0.377,0.139,4.901,13,0.216,,,,0.690135713,5.894736842,1,1,1,1,1,1,1.091825013,1,1,1.091825013,1.111111111,1.128038848,3.1372,201.502,0.841,0.833,0.113,11,0.923076923
MPT200209_1C,DIV28,28,HE,0.34,0.078,6.46,19,0.197,,,,0.884455904,8.736842105,1.008165048,1,1,1.008165048,1,1.129690961,1.15565049,1,1,1.15565049,1.111111111,1.451487081,2.813125,154.599,0.56,1.333,0.191,11,0.877192982
MPT200209_1C,DIV35,35,HE,0.296,0.087,16.576,56,0.104,,,,2.161828356,19.42105263,1.009838998,1,1,1.009838998,1,1.000115449,1.810336697,1,1,1.810336697,1.19760479,2.016325021,2.420772727,62.321,0.884,1.833,0.11,16,0.712987013
